AAB	Abelag Aviation - Belgium	ABG
BDF	Bissau Discovery Flying Club - Guinea-Bissau	BISSAU DISCOVERY
BDG	Mississippi State University - United States	BULLDOG
BDJ	Deer Air Co.,Ltd - China	CROWN JET/王冠
BDM	Air Bandama - Ivory Coast	BANDAMA
BDN	DERA Boscombe Down - United Kingdom	GAUNTLET
BDR	Badr Airlines - Sudan	BADR AIR
BDS	South Asian Airlines - Bangladesh	SOUTH ASIAN
BDV	Aberdair Aviation - Kenya	ABERDAV
BEA	Best Aviation Ltd - Bangladesh	BEST AIR
BED	Belgorod Aviation Enterprise - Russia	BELOGORYE
BEE	Flybe - United Kingdom	JERSEY
BEF	Balear Express - Spain	BALEAR EXPRESS
BEH	Bel Air Helicopters - Denmark	BLUECOPTER
BEK	Berkut Air - Kazakhstan	BERKUT
BEL	Brussels Airlines - Belgium	BEE-LINE
BER	Air Berlin - Germany	AIR BERLIN
BES	Aero Services Executive - France	BIRD EXPRESS
BET	BETA - Brazilian Express Transportes Aéreos - Brazil	BETA CARGO
BEZ	Kingfisher Air Services - United States	SEA BREEZE
BFC	Basler Flight Service - United States	BASLER
BFG	Bear Flight - Sweden	BEARFLIGHT
BFL	Buffalo Airways - Canada	BUFFALO
BFO	Bombardier - Canada	BOMBARDIER
BFR	Burkina Airlines - Burkina Faso	BURKLINES
BFS	Business Flight Sweden - Sweden	BUSINESS FLIGHT
BFW	Bahrain Defence Force - Bahrain	SUMMAN
BGA	Airbus Transport International - France	BELUGA
BGC	Beijing Good Jet Co.Ltd. - China	YAN DU/燕都
BGF	Aviodetachment-28 - Bulgaria	BULGARIAN
BGG	Aero BG - Mexico	AERO BG
BGH	BH Air - Bulgaria	BALKAN HOLIDAYS
BGI	British Gulf International - S?o Tomé and Príncipe	BRITISH GULF
BGK	British Gulf International-Fez - Kyrgyzstan	GULF INTER
BGL	Benin Golf Air - Benin	BENIN GOLF
BGM	Bugulma Air Enterprise - Russia	BUGAVIA
BGR	Budget Air Bangladesh - Bangladesh	BUDGET AIR
BGT	Bergen Air Transport - Norway	BERGEN AIR
BHA	Buddha Air - Nepal	BUDDHA AIR
BHC	Aerotaxis De La Bahia - Mexico	BAHIA
BHI	Balkh Airlines - Afghanistan	SHARIF
BHK	Blu Halkin - United Kingdom	BLUEHAKIN
BHL	Bristow Helicopters - United Kingdom	BRISTOW
BHN	Bristow Helicopters Nigeria - Nigeria	BRISTOW HELICOPTERS
BHO	Bhoja Airlines - Pakistan	BHOJA
BHP	Belair Airlines - Switzerland	BELAIR
BHR	Bighorn Airways - United States	BIGHORN AIR
BHS	Bahamasair - Bahamas	BAHAMAS
BHT	Bright Air - Netherlands	BRIGHTAIR
BHV	Specavia Air Company - Russia	AVIASPEC
BHY	Bosphorus European Airways - Turkey	BOSPHORUS
BID	Binair - Germany	BINAIR
BIE	Air Mediterranee - France	MEDITERRANEE
BIG	Big Island Air - United States	BIG ISLE
BIH	British International Helicopters - United Kingdom	BRINTEL
BIL	Billund Air Center - Denmark	BILAIR
BIN	Boise Interagency Fire Center - United States	BISON-AIR
BIO	Bioflight A/S - Denmark	BIOFLIGHT
BIR	Bird Leasing - United States	BIRD AIR
BIS	Irbis Air - Kazakhstan	IRBIS
BIS	Sky Bishek - Kyrgyzstan	JUMA AIR
BIV	Aviaservice - Georgia	AVIASERVICE
BIZ	Bizjet Ltd - United Kingdom	BIZZ
BJA	Baja Air - Mexico	BAJA AIR
BJC	Baltic Jet Aircompany - Latvia	BALTIC JET
BJN	Beijing Airlines - China	AIR JINGHUA/京华
BJS	Business Jet Solutions - United States	SOLUTION
BJT	ACM Aviation - United States	BAY JET
BJV	Beijing Vistajet Aviation - China	BEIJING VISTA
BKA	Bankair - United States	BANKAIR
BKF	BF-Lento OY - Finland	BAKERFLIGHT
BKJ	Barken International - United States	BARKEN JET
BKK	Blink - United Kingdom	BLINKAIR
BKL	Aircompany Barcol - Russia	BARCOL
BKP	Bangkok Airways - Thailand	BANGKOK AIR
BKR	Civil Air Patrol?South Carolina Wing - United States	BOX KAR
BKV	Bukovyna - Ukraine	BUKOVYNA
BLB	Blue Bird Aviation - Sudan	BLUEBIRD SUDAN
BLC	Bellesavia - Belarus	BELLESAVIA
BLE	Blue Line - France	BLUE BERRY
BLF	Blue1 - Finland	BLUEFIN
BLG	Belgavia - Belgium	BELGAVIA
BLH	Blue Horizon Travel Club - United States	BLUE HORIZON
BLI	Thyssen Krupp AG - Germany	BLUELINE
BLJ	Blue Jet - Spain	BLUEWAY
BLK	Westcoast Energy - Canada	BLUE FLAME
BLL	Baltic Airlines - Russia	BALTIC AIRLINES
BLM	Blue Sky Airlines - Armenia	BLUE ARMENIA
BLN	Bali International Air Service - Indonesia	BIAR
BLS	Bearskin Lake Air Service - Canada	BEARSKIN
BLT	Baltic Aviation - United States	BALTAIR
BLU	IMP Aviation Services - Canada	BLUENOSE
BLV	Bellview Airlines - Nigeria	BELLVIEW AIRLINES
BLW	Wermlandsflyg AB - Sweden	BLUESTAR
BLX	TUIfly Nordic - Sweden	BLUESCAN
BLY	Starair - Ireland	BLARNEY
BLZ	Aero Barloz - Mexico	AEROLOZ
BMA	BMI - United Kingdom	MIDLAND
BMD	British Medical Charter - United Kingdom	BRITISH MEDICAL
BME	Briggs Marine Environmental Services - United Kingdom	BRIGGS
BMH	Bristow Masayu Helicopters - Indonesia	MASAYU
BMI	Bmibaby - United Kingdom	BABY
BMJ	Bemidji Airlines - United States	BEMIDJI
BMK	GST Aero?Aircompany - Kazakhstan	MURAT
BML	Bismillah Airlines - Bangladesh	BISMILLAH
BMN	Bowman Aviation - United States	BOWMAN
BMR	BMI Regional - United Kingdom	MIDLAND
BMS	Blue Air - Romania	BLUE MESSANGER
BMV	Alatau Airlines - Kazakhstan	OLIGA
BMW	BMW - Germany	BMW-FLIGHT
BMX	Banco de Mexico - Mexico	BANXICO
BNA	Bun Air Corporation - United States	BUN AIR
BNB	Aero Banobras - Mexico	AEROBANOBRAS
BNC	Sundance Air - United States	BARNACLE AIR
BND	Bond Offshore Helicopters - United Kingdom	BOND
BNE	Benina Air - Libya	BENINA AIR
BNG	BN Group Limited - United Kingdom	VECTIS
BNH	Guangzhou Baoneng Business - China	BAONENG JET/雷霆
BNI	Alberni Airways - Canada	ALBERNI
BNL	Blue Nile Ethiopia Trading - Ethiopia	NILE TRADING
BNR	Bonair Aviation - Canada	BONAIR
BNS	Bancstar?- Valley National Corporation - United States	BANCSTAR
BNT	Bentiu Air Transport - Sudan	BENTIU AIR
BNV	Benane Aviation Corporation - Mauritania	BENANE
BNW	British North West Airlines - United Kingdom	BRITISH NORTH
BNX	LAI - Línea Aérea IAACA - Venezuela	AIR BARINAS
BNZ	Aerolíneas Bonanza - Mexico	AERO BONANZA
BOA	Boniair - Macedonia	KUMANOVO
BOB	Backbone A/S - Denmark	BACKBONE
BOC	Aerobona - Mexico	AEROBONA
BOD	Bond Air Services - Uganda	UGABOND
BOE	Boeing - United States	BOEING
BOF	Bordaire - Canada	BORDAIR
BOL	Transportes Aéreos Bolivianos - Bolivia	BOL
BON	B&H Airlines - Bosnia and Herzegovina	Air Bosna
BOO	Bookajet Limited - United Kingdom	BOOKAJET
BOS	OpenSkies - United Kingdom	MISTRAL
BOT	Air Botswana - Botswana	BOTSWANA
BOU	Bouraq Indonesia Airlines - Indonesia	BOURAQ
BOX	Aerologic - Germany	GERMAN CARGO
BPA	Blue Panorama Airlines - Italy	BLUE PANOROMA
BPH	Phoenix Helicopter Academy - United Kingdom	BLACK PHOENIX
BPK	Berkhut ZK - Kazakhstan	VENERA
BPO	Bundespolizei-Fliegertruppe - Germany	PIROL
BPS	Budapest Aircraft Services/Manx2 - Hungary	BASE
BPT	Bonus Aviation - United Kingdom	BONUS
BRB	BRA-Transportes Aéreos - Brazil	BRA-TRANSPAEREOS
BRD	Brock Air Services - Canada	BROCK AIR
BRE	Breeze Ltd - Ukraine	AVIABREEZE
BRF	Air Bravo - Uganda	AIR BRAVO
BRG	Bering Air - United States	BERING AIR
BRK	Briansk State Air Enterprise - Russia	BRIANSK-AVIA
BRL	Air Brasd'or - Canada	BRASD'OR
BRN	Branson Airlines - United States	BRANSON
BRO	BASE Regional Airlines - Netherlands	COASTRIDER
BRP	AeroBratsk - Russia	AEROBRA
BRQ	El-Buraq Air Transport - Libya	BURAQAIR
BRR	Mountain Air Service - United States	MOUNTAIN AIR
BRS	Brazilian Air Force - Brazil	BRAZILIAN AIR FORCE
BRT	British Regional Airlines - United Kingdom	BRITISH
BRU	Belavia?Belarusian Airlines - Belarus	BELARUS AVIA
BRW	Bright Aviation Services - Bulgaria	BRIGHT SERVICES
BRX	Buffalo Express Airlines - United States	BUFF EXPRESS
BRY	Burundayavia - Kazakhstan	BURAIR
BSB	Air Wings - Moldova	ARBAS
BSC	Bistair - Fez - Kyrgyzstan	BIG SHOT
BSD	Blue Star Airlines - Mexico	AIRLINES STAR
BSH	Beijing Shouhang Helicopter General Aviation Service Co., Ltd. - China	CAPITAL ROTOR/首直
BSI	Brasair Transportes Aéreos - Brazil	BRASAIR
BSJ	Blue Swan Aviation - United Kingdom	BLUE SWAN
BSJ	Skybus Jet - Bahamas	SKYBUS JET
BSK	Miami Air International - United States	BISCAYNE
BSN	Connectair Charters - Canada	BASTION
BSR	Guine Bissaur Airlines - Guinea-Bissau	BISSAU AIRLINES
BSS	Bissau Aero Transporte - Guinea-Bissau	BISSAU AIRSYSTEM
BST	Best Air - Turkey	TUNCA
BSW	Blue Sky Airways - Czech Republic	SKY BLUE
BSY	Big Sky Airlines - United States	BIG SKY
BTC	BAL Bashkirian Airlines - Russia	BASHKIRIAN
BTH	Baltijas Helicopters - Latvia	BALTIJAS HELICOPTERS
BTI	Air Baltic - Latvia	AIRBALTIC
BTK	Baltyka - Ukraine	BALTYKA
BTK	Batik Air - Indonesia	BATIK
BTL	Baltia Air Lines - United States	BALTIA
BTP	Veritair Ltd - United Kingdom	NET RAIL
BTR	Botir-Avia - Kyrgyzstan	BOTIR-AVIA
BTS	Aerotaxis Albatros - Mexico	AEROLINEAS ALBATROS
BTT	BT-Slavuta - Ukraine	BEETEE-SLAVUTA
BTU	Rolls-Royce plc - United Kingdom	ROLLS
BTV	Batavia Air - Indonesia	BATAVIA
BTZ	Bristow U.S. LLC - United States	BRISTOW
BUC	Bulgarian Air Charter - Bulgaria	BULGARIAN CHARTER
BUE	Orebro Aviation - Sweden	BLUELIGHT
BUL	Blue Airlines - Democratic Republic of the Congo	BLUE AIRLINES
BUN	Buryat Airlines Aircompany - Russia	BURAL
BUZ	Buzz Stansted - United Kingdom	BUZZ
BVC	Bulgarian Aeronautical Centre - Bulgaria	BULGARIAN WINGS
BVN	Baron Aviation Services - United States	SHOW-ME
BVR	ACM Air Charter - Germany	BAVARIAN
BVT	Berjaya Air - Malaysia	BERJAYA
BVV	Sparc Avia - Russia	SPARC
BWA	Caribbean Airlines - Trinidad and Tobago	CARIBBEAN
BWD	Bluewest Helicopters-Greenland - Denmark	BLUEWEST
BWI	Blue Wing Airlines - Suriname	BLUE TAIL
BWL	British World Airlines - United Kingdom	BRITWORLD
BWY	Fleet Requirements Air Direction Unit - United Kingdom	BROADWAY
BXA	Bahrain Executive Air Services - Bahrain	BEXAIR
BXH	Bar XH Air - Canada	PALLISER
BXI	Brussels International Airlines - Belgium	XENIA
BXJ	Brixtel Group - United States	BRIXTEL JET
BYA	Berry Aviation - United States	BERRY
BYC	Northern Airlines Sanya - China	BEIYA/北亚
BYE	Bayu Indonesia Air - Indonesia	BAYU
BYF	San Carlos Flight Center - United States	BAY FLIGHT
BYG	Bygone Aviation - United States	BYGONE
BYL	Bylina?Joint-Stock Company - Russia	BYLINA
BYT	Patriot Aviation Limited - United Kingdom	BYTE
BZA	Bizair Fluggesellschaft - Germany	BERLIN BEAR
BZE	Zenith Aviation - United Kingdom	ZENSTAR
BZF	Jet Aviation Business Jets - United States	BIZFLEET
BZH	Brit Air - France	BRITAIR
BZQ	Seneca College - Canada	STING
BZS	Aero Biniza - Mexico	BINIZA
BZY	Fresh Air Aviation - United States	BREEZY
BZZ	Butane Buzzard Aviation Corporation - United Kingdom	BUZZARD
CAA	Civil Aviation Authority of the Czech Republic - Czech Republic	INSPECTOR
CAB	Chesapeake Air Service - United States	CHESAPEAKE AIR
CAC	Conquest Airlines - United States	CONQUEST AIR
CAD	Chilliwack Aviation - Canada	CHILLIWACKAIR
CAE	Colibri Aviation - Canada	HUMMINGBIRD
CAG	China National Aviation Corporation - China	CHINA NATIONAL/中航
CAI	Corendon Airlines - Turkey	CORENDON
CAJ	Air Caraibes Atlantique - France	CAR LINE
CAL	China Airlines - Taiwan	DYNASTY
CAM	Camai Air - United States	AIR CAMAI
CAN	Crest Aviation - United Kingdom	CREST
CAO	Air China Cargo - China	AIRCHINA FREIGHT/凤凰
CAP	Civil Air Patrol - United States	CAP
CAQ	Cityair (Chester) Limited - United Kingdom	AIR CHESTER
CAR	Inter RCA - Central African Republic	QUEBEC ROMEO
CAS	Christman Air System - United States	CHRISTMAN
CAT	Copenhagen Air Taxi - Denmark	AIRCAT
CAV	Calm Air - Canada	CALM AIR
CAW	Comair - South Africa	COMAIR
CAX	Central Air Express - Democratic Republic of the Congo	CENTRAL EXPRESS
CAY	Cayman Airways - Cayman Islands	CAYMAN
CAZ	Cat Aviation - Switzerland	EUROCAT
CBA	Civil Aviation Inspectorate of the Czech Republic - Czech Republic	CALIBRA
CBB	Cheboksary Airenterprise?JSC - Russia	CHEBAIR
CBC	Caribair - Dominican Republic	CARIBAIR
CBD	Lockheed Martin Aeronautics - United States	CATBIRD
CBE	Aerovías Caribe - Mexico	AEROCARIBE
CBG	Beibu Gulf Airlines - China	Green City/浪花
CBH	Corporate Eagle Management Services - United States	CLUB HOUSE
CBI	Cabi - Ukraine	CABI
CBJ	Beijing Capital Airlines - China	CAPITAL JET/神鹿
CBL	Cumberland Airways?(Nicholson Air Service) - United States	CUMBERLAND
CBM	Cherokee Express - United States	BLUE MAX
CBN	"Southern Illinois University?as ""Aviation Flight""" - United States	CARBONDALE
CBN	Swedish Civil Aviation Administration - Sweden	CALIBRATION
CBO	Aerotaxi del Cabo - Mexico	TAXI CABO
CBR	Cabair College of Air Training - United Kingdom	CABAIR
CBS	Air Columbus - Ukraine	AIR COLUMBUS
CBT	Catalina Flying Boats - United States	CATALINA AIR
CBV	Aereo Cabo - Mexico	CABOAEREO
CBY	RAF Coningsby - United Kingdom	TYPHOON
CCA	Air China - China	AIR CHINA/国航
CCB	Caricom Airways - Barbados	DOLPHIN
CCD	Dalian Airlines - China	XIANGJIAN/响箭
CCF	CCF Manager Airline - Germany	TOMCAT
CCH	Chilchota Taxi Aéreo - Mexico	CHILCHOTA
CCI	Capital Cargo International Airlines - United States	CAPPY
CCK	Flight Trac - United States	CABLE CHECK
CCL	Cambodia Airlines - Cambodia	ANGKOR WAT
CCM	Air Corsica - France	CORSICA
CCO	China Air Cargo - China	AVIC CARGO/远望
CCP	Champion Air - United States	CHAMPION AIR
CCQ	Capital City Air Carriers - United States	CAP CITY
CCT	Connect Air - Canada	CONNECT
CCV	Centro De Helicopteros Corporativos - Mexico	HELICORPORATIVO
CCW	Central Charter - Czech Republic	CENTRAL CHARTER
CCY	Cherry Air - United States	CHERRY
CDA	Aerocardal - Chile	CARDAL
CDC	Zhejiang Loong Airlines - China	HUALONG/华龙
CDE	Comed Group - United Kingdom	COMEX
CDG	Shandong Airlines - China	SHANDONG/山东
CDI	Cards Air Services - Philippines	CARDS
CDL	Sunbird Airlines - United States	CAROLINA
CDM	Carga Aérea Dominicana - Dominican Republic	CARGA AEREA
CDN	Canadian Helicopters - Canada	CANADIAN
CDP	Aero Condor Peru - Peru	CONDOR-PERU
CDS	Spectrem Air - South Africa	SPECDAS
CDT	Real Aero Club de Reus-Costa Dorado - Spain	AEROREUS
CDV	Airline Skol - Russia	SKOL
CDY	Heliaviation Limited - United Kingdom	CADDY
CEA	RegionsAir - United States	CORP-X
CEB	Cebu Pacific - Philippines	CEBU
CEC	Celtic Airways - United Kingdom	CELTAIR
CED	CEDTA?(Compa?ía Ecuatoriana De Transportes Aéreos) - Ecuador	CEDTA
CEE	Servicios Aéreos Centrales - Mexico	CENTRA AEREOS
CEF	Czech Air Force - Czech Republic	CZECH AIR FORCE
CEG	Cega Aviation - United Kingdom	CEGA
CEM	Central Mongolia Airways - Mongolia	CENTRAL MONGOLIA
CEP	Chipola Aviation - United States	CHIPOLA
CER	Cetraca Aviation Service - Democratic Republic of the Congo	CETRACA
CES	China Eastern Airlines - China	CHINA EASTERN/东方
CET	Centrafrican Airlines - Central African Republic	CENTRAFRICAIN
CEV	Cente D'Essais En Vol - France	CENTEV
CEX	Capitol Air Express - United States	CAPITOL EXPRESS
CFA	China Flying Dragon Aviation - China	FEILONG/飞龙
CFB	Chongqing Forebase General Aviation - China	FOREBASE
CFC	Canadian Forces - Canada	CANFORCE
CFD	Cranfield University - United Kingdom	AERONAUT
CFE	CityFlyer Express - United Kingdom	FLYER
CFF	Aerofan - Spain	AEROFAN
CFG	Condor Flugdienst - Germany	CONDOR
CFH	Care Flight - Australia	CARE FLIGHT
CFI	Flight Inspection Center of the General Administration of Civil Aviation in China - China	CHINA JET/校飞
CFJ	Fujian Airlines - China	FUJIAN/福州
CFL	Swedish Airlines - Sweden	SWEDISH
CFM	ACEF - Portugal	ACEF
CFN	RAF Church Fenton - United Kingdom	CHURCH FENTON
CFS	Empire Airlines - United States	EMPIRE AIR
CFT	Jet Freighters - United States	CASPER FREIGHT
CFV	Aero Calafia - Mexico	CALAFIA
CFZ	Zhongfei General Aviation - China	ZHONGFEI/中飞
CGA	Congressional Air - United States	CONGRESSIONAL
CGB	Air Cargo Belize - Belize	CARGO BELIZE
CGC	Cal Gulf Aviation - S?o Tomé and Príncipe	CAL-GULF
CGE	Nelson Aviation College - New Zealand	COLLEGE
CGG	Walmart Aviation - United States	CHARGE
CGH	Guilin Airlines - China	WELKIN/超越
CGI	Rusair?JSAC - Russia	CGI-RUSAIR
CGK	Click Airways - Kyrgyzstan	CLICK AIR
CGL	Seagle Air - Slovakia	SEAGLE
CGM	Cargoman - Oman	HOTEL CHARLIE
CGN	Chang An Airlines - China	CHANGAN/旭日
CGO	Chicago Air - United States	WILD ONION
CGR	Compagnia Generale Ripreseaeree - Italy	COMPRIP
CGS	Centre of Applied Geodynamica - Russia	GEO CENTRE
CGU	Chinguetti Airlines - Mauritania	CHINGUETTI
CGV	Aero Clube Do Algarve - Portugal	CLUBE ALGARVE
CGX	United States Coast Guard Auxiliary - United States	COASTGUARD AUXAIR
CGZ	Colorful Guizhou Airlines - China	COLORFUL/黔兴
CHA	Central Flying Service - United States	CHARTER CENTRAL
CHB	West Air - China	WEST CHINA/西部
CHC	China Ocean Helicopter Corporation - China	CHINA HELICOPTER/海直
CHD	223 Flight Unit?State Airline - Russia	CHKALOVSK-AVIA
CHE	Top Flight Air Service - United States	CHECK AIR
CHF	Chitaavia - Russia	CHITA
CHG	Challenge Aero - Ukraine	SKY CHALLENGER
CHH	Hainan Airlines - China	HAINAN/海南
CHI	Cougar Helicopters - Canada	COUGAR
CHJ	Aircompany Chaika - Ukraine	AIR CHAIKA
CHK	Chalk's International Airlines - United States	CHALKS
CHL	Cohlmia Aviation - United States	COHLMIA
CHN	Channel Island Aviation - United States	CHANNEL
CHO	Chrome Air Services - United States	CHROME AIR
CHP	Aviacsa - Mexico	AVIACSA
CHQ	Chautauqua Airlines - United States	CHAUTAUQUA
CHR	Air Charter Services - Democratic Republic of the Congo	ZAIRE CHARTER
CHS	Challenge Aviation - Australia	CHALLENGE AVIATION
CHU	Church Aircraft - United States	CHURCHAIR
CHV	Air Charter Professionals - United States	CHARTAIR
CHW	Charter Air - Austria	CHARTER WIEN
CHZ	Cherline - Russia	CHERL
CIA	Civil Aviation Authority - Slovakia	CALIMERA
CIB	Condor - Germany	CONDOR BERLIN
CIC	ICC Canada - Canada	AIR TRADER
CIE	Czech Government Flying Service - Czech Republic	CZECH REPUBLIC
CIG	Sirius-Aero - Russia	SIRIUS AERO
CII	Cityfly - Italy	CITYFLY
CIK	Country International Airlines - Kyrgyzstan	COUNTRY AIR
CIL	Cecil Aviation - United Kingdom	CECIL
CIM	Cimber Sterling - Denmark	CIMBER
CIN	Cinnamon Air - Sri Lanka	CINNAMON
CIO	Il Ciocco International Travel Service - Italy	CIOCCO
CIR	Arctic Circle Air Service - United States	AIR ARCTIC
CIT	Zanesville Aviation - United States	ZANE
CIU	Cielos Airlines - Peru	CIELOS
CIV	Civil Aviation Authority of New Zealand - New Zealand	CIVAIR
CIW	Civair Airways - South Africa	CIVFLIGHT
CJA	CanJet - Canada	CANJET
CJC	Colgan Air - United States	COLGAN
CJE	Aeroservices Corporate - France	BIRD JET
CJI	Corporate Jets - United States	SEA JET
CJR	Caverton Helicopters - Nigeria	CAVERTON AIR
CJS	Commonwealth Jet Service - United States	COMMONWEALTH
CJT	Cargojet Airways - Canada	CARGOJET
CJX	Jiangxi Airlines - China	AIR CRANE/仙鹤
CJZ	Caliber Jet - United States	CALIBER JET
CKA	Cook Inlet Aviation - United States	COOK-AIR
CKE	Corporate Aviation Services - United States	CHECKMATE
CKK	China Cargo Airlines - China	CARGO KING/货航
CKL	Aviation Charter Services - United States	CIRCLE CITY
CKM	BKS Air?(Rivaflecha) - Spain	COSMOS
CKR	Crown Air Systems - United States	CROWN AIR
CKS	Kalitta Air - United States	CONNIE
CLA	Cargo Logic Air - United Kingdom	FIREBIRD
CLA	Comlux Aviation - Switzerland	COMLUX
CLB	Flight Precision Limited - United Kingdom	CALIBRATOR
CLD	Clowes Estates Limited - United Kingdom	CLOWES
CLE	Colemill Enterprises - United States	COLEMILL
CLF	Bristol Flying Centre - United Kingdom	CLIFTON
CLG	Chalair Aviation - France	CHALLAIR
CLH	Lufthansa CityLine - Germany	HANSALINE
CLK	Clark Aviation - United States	CLARKAIR
CLL	Aerovías Castillo - Mexico	AEROCASTILLO
CLM	Cargo Link (Caribbean) - Barbados	CARGO LINK
CLN	Barnes Olsen Aeroleasing - United Kingdom	SEELINE
CLP	Aero Club De Portugal - Portugal	CLUB PORTUGAL
CLR	Trans America - United States	CLINTON AIRWAYS
CLS	Challenge Air Transport - Germany	AIRISTO
CLU	Triple Alpha - Germany	CAROLUS
CLV	Lom Praha Flying School - Czech Republic	AEROTRAINING
CLW	Centralwings - Poland	CENTRALWINGS
CLX	Cargolux - Luxembourg	CARGOLUX
CLY	Clay Lacy Aviation - United States	CLAY-LACY
CLZ	Cloud 9 Air Charters - South Africa	CLOUDLINE
CMA	Central European Airlines - Czech Republic	EUROCENTRAL
CME	Commerce Bank - United States	COMMERCE BANK
CME	Prince Edward Air - Canada	COMET
CMF	Air Care Alliance - United States	COMPASSION
CMG	Comet Airlines - Nigeria	SUNSPY
CMH	Commair Aviation - United Kingdom	COMMODORE
CMI	Continental Micronesia - United States	AIR MIKE
CMJ	Comfort Jet Services - Togo	COMFORT JET
CMJ	Mudanjiang General Aviation - China	MUDANJIANG/牡丹江
CMK	Chernomor-Avia - Russia	CHERAVIA
CML	Commander Air Charter - Canada	COMMANDAIR
CMM	Compagnie Aérienne du Mali - Mali	CAMALI
CMN	Eckles Aircraft - United States	CIMMARON AIRE
CMP	Copa Airlines - Panama	COPA
CMR	CAM Air Management - United Kingdom	CAMEO
CMS	Commercial Aviation - Canada	ACCESS
CMT	Casement Aviation - United States	CASEMENT
CMU	Northern Aviation Service - Thailand	LANNA AIR
CMV	Calima Aviación - Spain	CALIMA
CMX	El Caminante Taxi Aéreo - Mexico	EL CAMINANTE
CMY	Cape Smythe Air - United States	CAPE SMYTHE AIR
CMZ	CM Stair - Mauritania	CEE-EM STAIRS
CNB	Cityline Hungary - Hungary	CITYHUN
CNC	Corporación Aéreo Cencor - Mexico	CENCOR
CND	Corendon Dutch Airlines - Netherlands	DUTCH CORENDON
CNE	Air Toronto - Canada	CONNECTOR
CNG	Coastal Airways - United States	SID-AIR
CNH	Aquila Air - United States	CHENANGO
CNI	Empresa Nacional De Servicios Aéreos - Cuba	SERAER
CNJ	Nanjing Airlines - China	NINGHANG/宁航
CNK	Sunwest Home Aviation - Canada	CHINOOK
CNL	Centennial Airlines - United States	WYO-AIR
CNM	Air China Inner Mongolia - China	MENGYUAN/蒙元
CNO	SAS Braathens - Norway	SCANOR
CNR	Condor Aero Services - United States	CONAERO
CNS	Cobalt Air - United States	CHRONOS
CNT	Centre national d'études des télécommunications?- C.N.E.T. - France	KNET
CNU	Air Consul - Spain	AIR CONSUL
CNV	U.S. Navy Reserve Logistic Air Forces - United States	CONVOY
CNW	Northwest Cargo International Airlines - China	TANG/隋唐
CNY	Central Airways - Sierra Leone	CENTRAL LEONE
COD	Concordavia - Ukraine	CONCORDAVIA
COF	Confort Air - Canada	CONFORT
COH	RAF Coltishall - United Kingdom	COLT
COL	Columbia Air - Croatia	COLUMBIA AIR
CON	Continental Oil - United States	CONOCO
COO	Corporate Airlink - Canada	CORPORATE
COP	Copper State Air Service - United States	COPPER STATE
COT	RAF Cottesmore - United Kingdom	COTTESMORE
COV	Helicentre Coventry - United Kingdom	HELICENTRE
COW	Cowi - Netherlands	COWI
COY	Coyne Aviation - United Kingdom	COYNE AIR
COZ	Cosmic Air - Nepal	COSMIC AIR
CPA	Cathay Pacific - Hong Kong	CATHAY
CPB	Corpac Canada - Canada	PENTA
CPD	Capital Airlines - Kenya	CAPITAL DELTA
CPG	Corporacion Aeroangeles - Mexico	CORPORANG
CPH	Champagne Airlines - France	CHAMPAGNE
CPI	Compagnia Aerea Italiana - Italy	AIRCAI
CPJ	Baltimore Air Transport - United States	CORPJET
CPL	Chaparral Airlines - United States	CHAPARRAL
CPN	Caspian Airlines - Iran	CASPIAN
CPO	Corporate Aircraft Company - United States	MOKAN
